title,year,total_words_f,total_words_m,num_characters_f,num_characters_m,pct_words_f,pct_words_m,pct_chars_f,pct_chars_m,avg_male_words,avg_female_words,dominant_gender,actor_nom,actress_nom,actor_win,actress_win,actor_noms,actress_noms,actor_wins,actress_wins,df_type
12 years a slave,2013,3452.0,16176.0,6.0,22.0,0.17587120440187487,0.8241287955981251,0.21428571428571427,0.7857142857142857,735.2727272727273,575.3333333333334,m,True,True,False,True,2,1,0,1,Acting
127 hours,2010,809.0,4336.0,3.0,1.0,0.15724003887269195,0.8427599611273081,0.75,0.25,4336.0,269.6666666666667,m,True,False,False,False,1,0,0,0,Acting
a beautiful mind,2001,1496.0,6487.0,1.0,9.0,0.1873982212200927,0.8126017787799074,0.1,0.9,720.7777777777778,1496.0,f,True,True,False,True,1,1,0,1,Acting
a civil action,1998,255.0,4553.0,1.0,10.0,0.05303660565723794,0.9469633943427621,0.09090909090909091,0.9090909090909091,455.3,255.0,m,True,False,False,False,1,0,0,0,Acting
a dry white season,1989,1716.0,9202.0,4.0,11.0,0.15717164315808757,0.8428283568419125,0.26666666666666666,0.7333333333333333,836.5454545454545,429.0,m,True,False,False,False,1,0,0,0,Acting
a few good men,1992,5854.0,36484.0,1.0,19.0,0.13826822240068024,0.8617317775993197,0.05,0.95,1920.2105263157894,5854.0,f,True,False,False,False,1,0,0,0,Acting
a history of violence,2005,2818.0,7891.0,3.0,11.0,0.263143150620973,0.736856849379027,0.21428571428571427,0.7857142857142857,717.3636363636364,939.3333333333334,f,True,False,False,False,1,0,0,0,Acting
a simple plan,1998,1930.0,7563.0,2.0,6.0,0.20330770041082905,0.796692299589171,0.25,0.75,1260.5,965.0,m,True,False,False,False,1,0,0,0,Acting
a single man,2009,1047.0,4874.0,2.0,5.0,0.17682823847323087,0.8231717615267691,0.2857142857142857,0.7142857142857143,974.8,523.5,m,True,False,False,False,1,0,0,0,Acting
adaptation,2002,2863.0,6817.0,3.0,4.0,0.29576446280991736,0.7042355371900827,0.42857142857142855,0.5714285714285714,1704.25,954.3333333333334,m,True,True,True,False,2,1,1,0,Acting
agnes of god,1985,15732.0,1322.0,3.0,5.0,0.9224815292599976,0.07751847074000234,0.375,0.625,264.4,5244.0,f,False,True,False,False,0,2,0,0,Acting
ali,2001,857.0,8144.0,2.0,14.0,0.09521164315076103,0.904788356849239,0.125,0.875,581.7142857142857,428.5,m,True,False,False,False,2,0,0,0,Acting
aliens,1986,6476.0,7194.0,6.0,10.0,0.4737381126554499,0.5262618873445501,0.375,0.625,719.4,1079.3333333333333,f,False,True,False,False,0,1,0,0,Acting
all the presidents men,1976,603.0,7890.0,2.0,10.0,0.07099964676792653,0.9290003532320734,0.16666666666666666,0.8333333333333334,789.0,301.5,m,True,True,True,False,1,1,1,0,Acting
almost famous,2000,6766.0,16484.0,8.0,12.0,0.29101075268817206,0.708989247311828,0.4,0.6,1373.6666666666667,845.75,m,False,True,False,False,0,2,0,0,Acting
amadeus,1984,2266.0,10022.0,5.0,14.0,0.18440755208333334,0.8155924479166666,0.2631578947368421,0.7368421052631579,715.8571428571429,453.2,m,True,False,True,False,2,0,1,0,Acting
american beauty,1999,6842.0,9882.0,3.0,6.0,0.40911265247548434,0.5908873475245157,0.3333333333333333,0.6666666666666666,1647.0,2280.6666666666665,f,True,True,True,False,1,1,1,0,Acting
american gangster,2007,939.0,8100.0,5.0,17.0,0.10388317291735812,0.8961168270826418,0.22727272727272727,0.7727272727272727,476.47058823529414,187.8,m,False,True,False,False,0,1,0,0,Acting
american graffiti,1973,2619.0,7255.0,6.0,10.0,0.2652420498278307,0.7347579501721694,0.375,0.625,725.5,436.5,m,False,True,False,False,0,1,0,0,Acting
american history x,1998,1302.0,6394.0,4.0,10.0,0.16917879417879417,0.8308212058212058,0.2857142857142857,0.7142857142857143,639.4,325.5,m,True,False,False,False,1,0,0,0,Acting
american hustle,2013,5507.0,16441.0,5.0,9.0,0.25091124476034266,0.7490887552396573,0.35714285714285715,0.6428571428571429,1826.7777777777778,1101.4,m,True,True,False,False,2,2,0,0,Acting
american sniper,2014,1183.0,2859.0,1.0,11.0,0.2926768926274122,0.7073231073725879,0.08333333333333333,0.9166666666666666,259.90909090909093,1183.0,f,True,False,False,False,1,0,0,0,Acting
amour,2012,2294.0,4183.0,3.0,1.0,0.35417631619576967,0.6458236838042304,0.75,0.25,4183.0,764.6666666666666,m,False,True,False,False,0,1,0,0,Acting
an education,2009,14330.0,6292.0,7.0,4.0,0.694888953544758,0.30511104645524195,0.6363636363636364,0.36363636363636365,1573.0,2047.142857142857,f,False,True,False,False,0,1,0,0,Acting
an officer and a gentleman,1982,2671.0,8714.0,3.0,8.0,0.23460693895476503,0.765393061045235,0.2727272727272727,0.7272727272727273,1089.25,890.3333333333334,m,True,True,True,False,1,1,1,0,Acting
an unmarried woman,1978,7443.0,2829.0,7.0,5.0,0.7245911214953271,0.2754088785046729,0.5833333333333334,0.4166666666666667,565.8,1063.2857142857142,f,False,True,False,False,0,1,0,0,Acting
anatomy of a murder,1959,2928.0,15297.0,3.0,12.0,0.16065843621399176,0.8393415637860082,0.2,0.8,1274.75,976.0,m,True,False,False,False,3,0,0,0,Acting
animal kingdom,2010,2051.0,6649.0,4.0,11.0,0.2357471264367816,0.7642528735632184,0.26666666666666666,0.7333333333333333,604.4545454545455,512.75,m,False,True,False,False,0,1,0,0,Acting
annie hall,1977,4142.0,8994.0,4.0,5.0,0.3153166869671133,0.6846833130328868,0.4444444444444444,0.5555555555555556,1798.8,1035.5,m,True,True,False,True,1,1,0,1,Acting
apocalypse now,1979,564.0,20250.0,1.0,16.0,0.027097146151628712,0.9729028538483713,0.058823529411764705,0.9411764705882353,1265.625,564.0,m,True,False,False,False,1,0,0,0,Acting
argo,2012,345.0,8919.0,2.0,16.0,0.03724093264248705,0.9627590673575129,0.1111111111111111,0.8888888888888888,557.4375,172.5,m,True,False,False,False,1,0,0,0,Acting
arthur,1981,4841.0,8921.0,4.0,4.0,0.35176573172503994,0.64823426827496,0.5,0.5,2230.25,1210.25,m,True,False,True,False,2,0,1,0,Acting
as good as it gets,1997,8458.0,15860.0,4.0,8.0,0.34780820791183487,0.6521917920881651,0.3333333333333333,0.6666666666666666,1982.5,2114.5,f,True,True,True,True,2,1,1,1,Acting
atonement,2007,3379.0,2740.0,7.0,5.0,0.5522144141199542,0.44778558588004574,0.5833333333333334,0.4166666666666667,548.0,482.7142857142857,m,False,True,False,False,0,1,0,0,Acting
august osage county,2013,11625.0,3380.0,7.0,6.0,0.7747417527490836,0.22525824725091637,0.5384615384615384,0.46153846153846156,563.3333333333334,1660.7142857142858,f,False,True,False,False,0,2,0,0,Acting
awakenings,1990,2417.0,9503.0,6.0,9.0,0.20276845637583893,0.797231543624161,0.4,0.6,1055.888888888889,402.8333333333333,m,True,False,False,False,1,0,0,0,Acting
babel,2006,4118.0,11836.0,6.0,23.0,0.25811708662404415,0.7418829133759559,0.20689655172413793,0.7931034482758621,514.6086956521739,686.3333333333334,f,False,True,False,False,0,2,0,0,Acting
bad day at black rock,1955,998.0,17282.0,1.0,10.0,0.05459518599562363,0.9454048140043764,0.09090909090909091,0.9090909090909091,1728.2,998.0,m,True,False,False,False,1,0,0,0,Acting
barton fink,1991,505.0,9395.0,1.0,10.0,0.05101010101010101,0.9489898989898989,0.09090909090909091,0.9090909090909091,939.5,505.0,m,True,False,False,False,1,0,0,0,Acting
beasts of the southern wild,2012,2325.0,1706.0,4.0,3.0,0.576779955346068,0.42322004465393204,0.5714285714285714,0.42857142857142855,568.6666666666666,581.25,f,False,True,False,False,0,1,0,0,Acting
being john malkovich,1999,3931.0,6344.0,4.0,6.0,0.3825790754257907,0.6174209245742093,0.4,0.6,1057.3333333333333,982.75,m,False,True,False,False,0,1,0,0,Acting
being there,1979,5850.0,15418.0,6.0,14.0,0.27506112469437655,0.7249388753056235,0.3,0.7,1101.2857142857142,975.0,m,True,False,True,False,2,0,1,0,Acting
big,1988,3290.0,8568.0,2.0,4.0,0.27744982290436837,0.7225501770956316,0.3333333333333333,0.6666666666666666,2142.0,1645.0,m,True,False,False,False,1,0,0,0,Acting
birdman or the unexpected virtue of ignorance,2014,3023.0,6884.0,5.0,5.0,0.3051377813667104,0.6948622186332896,0.5,0.5,1376.8,604.6,m,True,True,False,False,2,1,0,0,Acting
black swan,2010,2444.0,1947.0,4.0,1.0,0.5565930312001822,0.44340696879981784,0.8,0.2,1947.0,611.0,m,False,True,False,True,0,1,0,1,Acting
blazing saddles,1974,309.0,4753.0,1.0,9.0,0.061043065981825365,0.9389569340181746,0.1,0.9,528.1111111111111,309.0,m,False,True,False,False,0,1,0,0,Acting
blood diamond,2006,1206.0,5075.0,2.0,9.0,0.19200764209520776,0.8079923579047922,0.18181818181818182,0.8181818181818182,563.8888888888889,603.0,f,True,False,False,False,2,0,0,0,Acting
