character,words,gender,age,title,year,dominant_gender,actor_nom,actress_nom,actor_win,actress_win,actor_noms,actress_noms,actor_wins,actress_wins,df_type
betty,311,f,35.0,the bridges of madison county,1995,m,False,True,False,False,0,1,0,0,Acting
francesca johns,2251,f,46.0,the bridges of madison county,1995,m,False,True,False,False,0,1,0,0,Acting
madge,190,f,46.0,the bridges of madison county,1995,m,False,True,False,False,0,1,0,0,Acting
michael johnson,723,m,38.0,the bridges of madison county,1995,m,False,True,False,False,0,1,0,0,Acting
robert kincaid,1908,m,65.0,the bridges of madison county,1995,m,False,True,False,False,0,1,0,0,Acting
'smokin' joe fr,150,m,33.0,ali,2001,m,True,False,False,False,2,0,0,0,Acting
angelo dundee,318,m,55.0,ali,2001,m,True,False,False,False,2,0,0,0,Acting
belinda ali,566,f,27.0,ali,2001,m,True,False,False,False,2,0,0,0,Acting
bradley,128,m,51.0,ali,2001,m,True,False,False,False,2,0,0,0,Acting
chauncey eskrid,247,m,54.0,ali,2001,m,True,False,False,False,2,0,0,0,Acting
don king,398,m,44.0,ali,2001,m,True,False,False,False,2,0,0,0,Acting
drew 'bundini' ,708,m,34.0,ali,2001,m,True,False,False,False,2,0,0,0,Acting
elijah muhammad,206,m,64.0,ali,2001,m,True,False,False,False,2,0,0,0,Acting
howard bingham,188,m,36.0,ali,2001,m,True,False,False,False,2,0,0,0,Acting
howard cosell,575,m,63.0,ali,2001,m,True,False,False,False,2,0,0,0,Acting
jabir herbert m,232,m,47.0,ali,2001,m,True,False,False,False,2,0,0,0,Acting
joe smiley,128,m,44.0,ali,2001,m,True,False,False,False,2,0,0,0,Acting
malcolm x,662,m,44.0,ali,2001,m,True,False,False,False,2,0,0,0,Acting
muhammad ali,4042,m,33.0,ali,2001,m,True,False,False,False,2,0,0,0,Acting
sonji roi,291,f,30.0,ali,2001,m,True,False,False,False,2,0,0,0,Acting
antonio salieri,1919,m,45.0,amadeus,1984,m,True,False,True,False,2,0,1,0,Acting
archbishop coll,150,m,52.0,amadeus,1984,m,True,False,True,False,2,0,1,0,Acting
baron van swiet,246,m,61.0,amadeus,1984,m,True,False,True,False,2,0,1,0,Acting
constanze mozar,1406,f,22.0,amadeus,1984,m,True,False,True,False,2,0,1,0,Acting
count orsini-ro,303,m,54.0,amadeus,1984,m,True,False,True,False,2,0,1,0,Acting
count von strac,155,m,52.0,amadeus,1984,m,True,False,True,False,2,0,1,0,Acting
emanuel schikan,702,m,35.0,amadeus,1984,m,True,False,True,False,2,0,1,0,Acting
emperor joseph ,946,m,38.0,amadeus,1984,m,True,False,True,False,2,0,1,0,Acting
father vogler,309,m,31.0,amadeus,1984,m,True,False,True,False,2,0,1,0,Acting
katerina cavali,271,f,31.0,amadeus,1984,m,True,False,True,False,2,0,1,0,Acting
leopold mozart,646,m,61.0,amadeus,1984,m,True,False,True,False,2,0,1,0,Acting
lorl,307,f,18.0,amadeus,1984,m,True,False,True,False,2,0,1,0,Acting
michael schlumb,410,m,52.0,amadeus,1984,m,True,False,True,False,2,0,1,0,Acting
parody commenda,107,m,50.0,amadeus,1984,m,True,False,True,False,2,0,1,0,Acting
salieri's valet,149,m,36.0,amadeus,1984,m,True,False,True,False,2,0,1,0,Acting
wolfgang amadeu,3826,m,31.0,amadeus,1984,m,True,False,True,False,2,0,1,0,Acting
charlie william,115,m,60.0,american gangster,2007,m,False,True,False,False,0,1,0,0,Acting
detective trupo,377,m,39.0,american gangster,2007,m,False,True,False,False,0,1,0,0,Acting
frank lucas,2480,m,53.0,american gangster,2007,m,False,True,False,False,0,1,0,0,Acting
freddie spearma,140,m,48.0,american gangster,2007,m,False,True,False,False,0,1,0,0,Acting
huey lucas,529,m,30.0,american gangster,2007,m,False,True,False,False,0,1,0,0,Acting
javier j. river,392,m,39.0,american gangster,2007,m,False,True,False,False,0,1,0,0,Acting
laurie roberts,190,f,36.0,american gangster,2007,m,False,True,False,False,0,1,0,0,Acting
lou toback,318,m,50.0,american gangster,2007,m,False,True,False,False,0,1,0,0,Acting
mama lucas,173,f,85.0,american gangster,2007,m,False,True,False,False,0,1,0,0,Acting
moses jones,103,m,38.0,american gangster,2007,m,False,True,False,False,0,1,0,0,Acting
mp,168,m,40.0,american gangster,2007,m,False,True,False,False,0,1,0,0,Acting
nate,175,m,48.0,american gangster,2007,m,False,True,False,False,0,1,0,0,Acting
richie roberts,2217,m,43.0,american gangster,2007,m,False,True,False,False,0,1,0,0,Acting
tango,140,m,35.0,american gangster,2007,m,False,True,False,False,0,1,0,0,Acting
us attorney,222,m,45.0,american gangster,2007,m,False,True,False,False,0,1,0,0,Acting
bob falfa,248,m,31.0,american graffiti,1973,m,False,True,False,False,0,1,0,0,Acting
budda,226,f,22.0,american graffiti,1973,m,False,True,False,False,0,1,0,0,Acting
carlos,131,m,18.0,american graffiti,1973,m,False,True,False,False,0,1,0,0,Acting
