title,year,total_words_f,total_words_m,num_characters_f,num_characters_m,pct_words_f,pct_words_m,pct_chars_f,pct_chars_m,avg_male_words,avg_female_words,dominant_gender,total_nominations,total_wins,nominated,df_type
10 things i hate about you,1999,8992.0,10688.0,4.0,8.0,0.45691056910569106,0.5430894308943089,0.3333333333333333,0.6666666666666666,1336.0,2248.0,f,0,0,False,Other
12 and holding,2005,5324.0,10644.0,5.0,10.0,0.33341683366733466,0.6665831663326653,0.3333333333333333,0.6666666666666666,1064.4,1064.8,f,0,0,False,Other
12 years a slave,2013,3452.0,16176.0,6.0,22.0,0.17587120440187487,0.8241287955981251,0.21428571428571427,0.7857142857142857,735.2727272727273,575.3333333333334,m,6,2,True,Other
127 hours,2010,809.0,4336.0,3.0,1.0,0.15724003887269195,0.8427599611273081,0.75,0.25,4336.0,269.6666666666667,m,5,0,True,Other
1408,2007,284.0,3039.0,1.0,3.0,0.08546494131808606,0.914535058681914,0.25,0.75,1013.0,284.0,m,0,0,False,Other
1492 conquest of paradise,1992,487.0,7656.0,2.0,12.0,0.059805968316345326,0.9401940316836547,0.14285714285714285,0.8571428571428571,638.0,243.5,m,0,0,False,Other
15 minutes,2001,1524.0,7584.0,4.0,10.0,0.1673254281949934,0.8326745718050066,0.2857142857142857,0.7142857142857143,758.4,381.0,m,0,0,False,Other
17 again,2009,3806.0,12832.0,6.0,8.0,0.22875345594422405,0.771246544055776,0.42857142857142855,0.5714285714285714,1604.0,634.3333333333334,m,0,0,False,Other
2 guns,2013,583.0,9206.0,1.0,6.0,0.059556645214015734,0.9404433547859843,0.14285714285714285,0.8571428571428571,1534.3333333333333,583.0,m,0,0,False,Other
2001 a space odyssey,1968,155.0,4246.0,1.0,8.0,0.035219268348102704,0.9647807316518973,0.1111111111111111,0.8888888888888888,530.75,155.0,m,4,1,True,Other
2012,2009,2560.0,11574.0,5.0,14.0,0.18112353190887223,0.8188764680911278,0.2631578947368421,0.7368421052631579,826.7142857142857,512.0,m,0,0,False,Other
21,2008,732.0,9088.0,1.0,11.0,0.07454175152749491,0.9254582484725051,0.08333333333333333,0.9166666666666666,826.1818181818181,732.0,m,0,0,False,Other
22 jump street,2014,1591.0,8355.0,4.0,7.0,0.1599638045445405,0.8400361954554595,0.36363636363636365,0.6363636363636364,1193.5714285714287,397.75,m,0,0,False,Other
25th hour,2002,1073.0,9059.0,2.0,13.0,0.1059020923805764,0.8940979076194236,0.13333333333333333,0.8666666666666667,696.8461538461538,536.5,m,0,0,False,Other
28 days,2000,1705.0,699.0,5.0,3.0,0.709234608985025,0.29076539101497506,0.625,0.375,233.0,341.0,f,0,0,False,Other
28 days later,2002,1304.0,3309.0,2.0,7.0,0.2826793843485801,0.7173206156514199,0.2222222222222222,0.7777777777777778,472.7142857142857,652.0,f,0,0,False,Other
28 weeks later,2007,1019.0,2091.0,2.0,6.0,0.3276527331189711,0.672347266881029,0.25,0.75,348.5,509.5,f,0,0,False,Other
3 days to kill,2014,4573.0,5575.0,4.0,3.0,0.4506306661411115,0.5493693338588884,0.5714285714285714,0.42857142857142855,1858.3333333333333,1143.25,m,0,0,False,Other
3 men and a baby,1987,632.0,12366.0,3.0,8.0,0.048622865056162486,0.9513771349438375,0.2727272727272727,0.7272727272727273,1545.75,210.66666666666666,m,0,0,False,Other
3 women,1977,1531.0,171.0,3.0,1.0,0.899529964747356,0.10047003525264395,0.75,0.25,171.0,510.3333333333333,f,0,0,False,Other
30 days of night,2007,1713.0,4161.0,4.0,8.0,0.2916241062308478,0.7083758937691522,0.3333333333333333,0.6666666666666666,520.125,428.25,m,0,0,False,Other
30 minutes or less,2011,704.0,14278.0,2.0,7.0,0.04698972099853157,0.9530102790014684,0.2222222222222222,0.7777777777777778,2039.7142857142858,352.0,m,0,0,False,Other
300,2006,1071.0,9348.0,1.0,13.0,0.10279297437374028,0.8972070256262598,0.07142857142857142,0.9285714285714286,719.0769230769231,1071.0,f,0,0,False,Other
310 to yuma,2007,145.0,5699.0,1.0,10.0,0.024811772758384667,0.9751882272416154,0.09090909090909091,0.9090909090909091,569.9,145.0,m,2,0,True,Other
42,2013,1793.0,14974.0,2.0,21.0,0.10693624381225025,0.8930637561877497,0.08695652173913043,0.9130434782608695,713.047619047619,896.5,f,0,0,False,Other
48 hrs,1982,3438.0,20866.0,7.0,13.0,0.1414581961816985,0.8585418038183015,0.35,0.65,1605.076923076923,491.14285714285717,m,0,0,False,Other
500 days of summer,2009,5738.0,12762.0,5.0,8.0,0.31016216216216214,0.6898378378378378,0.38461538461538464,0.6153846153846154,1595.25,1147.6,m,0,0,False,Other
5050,2011,2209.0,5617.0,4.0,4.0,0.28226424738052647,0.7177357526194735,0.5,0.5,1404.25,552.25,m,0,0,False,Other
8mm,1999,4426.0,16082.0,4.0,7.0,0.21581821728106104,0.7841817827189389,0.36363636363636365,0.6363636363636364,2297.4285714285716,1106.5,m,0,0,False,Other
a beautiful mind,2001,1496.0,6487.0,1.0,9.0,0.1873982212200927,0.8126017787799074,0.1,0.9,720.7777777777778,1496.0,f,6,3,True,Other
a civil action,1998,255.0,4553.0,1.0,10.0,0.05303660565723794,0.9469633943427621,0.09090909090909091,0.9090909090909091,455.3,255.0,m,1,0,True,Other
a clockwork orange,1971,703.0,10647.0,2.0,13.0,0.061938325991189425,0.9380616740088106,0.13333333333333333,0.8666666666666667,819.0,351.5,m,4,0,True,Other
a few good men,1992,5854.0,36484.0,1.0,19.0,0.13826822240068024,0.8617317775993197,0.05,0.95,1920.2105263157894,5854.0,f,3,0,True,Other
a good year,2006,3374.0,6423.0,5.0,5.0,0.3443911401449423,0.6556088598550577,0.5,0.5,1284.6,674.8,m,0,0,False,Other
a history of violence,2005,2818.0,7891.0,3.0,11.0,0.263143150620973,0.736856849379027,0.21428571428571427,0.7857142857142857,717.3636363636364,939.3333333333334,f,1,0,True,Other
a man apart,2003,110.0,7281.0,1.0,11.0,0.01488296576917873,0.9851170342308213,0.08333333333333333,0.9166666666666666,661.9090909090909,110.0,m,0,0,False,Other
a most violent year,2014,1644.0,10130.0,1.0,9.0,0.13962969254289112,0.8603703074571089,0.1,0.9,1125.5555555555557,1644.0,f,0,0,False,Other
a most wanted man,2014,2938.0,6029.0,5.0,9.0,0.32764581242332996,0.67235418757667,0.35714285714285715,0.6428571428571429,669.8888888888889,587.6,m,0,0,False,Other
a night at the roxbury,1998,1490.0,13139.0,4.0,11.0,0.10185248479048466,0.8981475152095153,0.26666666666666666,0.7333333333333333,1194.4545454545455,372.5,m,0,0,False,Other
a nightmare on elm street,1984,3132.0,2188.0,4.0,6.0,0.5887218045112782,0.4112781954887218,0.4,0.6,364.6666666666667,783.0,f,0,0,False,Other
a nightmare on elm street 2 freddys revenge,1985,1286.0,2098.0,2.0,5.0,0.38002364066193856,0.6199763593380615,0.2857142857142857,0.7142857142857143,419.6,643.0,f,0,0,False,Other
a nightmare on elm street 3 dream warriors,1987,3546.0,3817.0,7.0,8.0,0.4815971750645118,0.5184028249354883,0.4666666666666667,0.5333333333333333,477.125,506.57142857142856,f,0,0,False,Other
a nightmare on elm street 4 the dream master,1988,2252.0,1778.0,4.0,5.0,0.5588089330024814,0.4411910669975186,0.4444444444444444,0.5555555555555556,355.6,563.0,f,0,0,False,Other
a nightmare on elm street 5 the dream child,1989,4614.0,2420.0,5.0,5.0,0.6559567813477396,0.34404321865226045,0.5,0.5,484.0,922.8,f,0,0,False,Other
a perfect getaway,2009,1388.0,4685.0,2.0,4.0,0.22855260991272847,0.7714473900872715,0.3333333333333333,0.6666666666666666,1171.25,694.0,m,0,0,False,Other
a perfect world,1993,2277.0,9510.0,7.0,12.0,0.19317892593535252,0.8068210740646475,0.3684210526315789,0.631578947368421,792.5,325.2857142857143,m,0,0,False,Other
a room with a view,1985,7644.0,5474.0,5.0,6.0,0.5827107790821772,0.41728922091782283,0.45454545454545453,0.5454545454545454,912.3333333333334,1528.8,f,0,0,False,Other
a scanner darkly,2006,2171.0,9556.0,5.0,9.0,0.18512833631789888,0.8148716636821012,0.35714285714285715,0.6428571428571429,1061.7777777777778,434.2,m,0,0,False,Other
a serious man,2009,866.0,8163.0,4.0,10.0,0.09591316867870196,0.9040868313212981,0.2857142857142857,0.7142857142857143,816.3,216.5,m,2,0,True,Other
a simple plan,1998,1930.0,7563.0,2.0,6.0,0.20330770041082905,0.796692299589171,0.25,0.75,1260.5,965.0,m,1,0,True,Other
a walk to remember,2002,1710.0,3902.0,3.0,4.0,0.304704205274412,0.695295794725588,0.42857142857142855,0.5714285714285714,975.5,570.0,m,0,0,False,Other
about last night,2014,4864.0,6833.0,2.0,5.0,0.4158331196033171,0.584166880396683,0.2857142857142857,0.7142857142857143,1366.6,2432.0,f,0,0,False,Other
above the law,1988,1317.0,6527.0,4.0,9.0,0.16789903110657828,0.8321009688934218,0.3076923076923077,0.6923076923076923,725.2222222222222,329.25,m,0,0,False,Other
absolute power,1997,3006.0,9180.0,4.0,7.0,0.2466765140324963,0.7533234859675036,0.36363636363636365,0.6363636363636364,1311.4285714285713,751.5,m,0,0,False,Other
ace ventura pet detective,1994,2785.0,7942.0,4.0,11.0,0.25962524470961124,0.7403747552903888,0.26666666666666666,0.7333333333333333,722.0,696.25,m,0,0,False,Other
adaptation,2002,2863.0,6817.0,3.0,4.0,0.29576446280991736,0.7042355371900827,0.42857142857142855,0.5714285714285714,1704.25,954.3333333333334,m,1,0,True,Other
adventureland,2009,2414.0,6619.0,5.0,8.0,0.2672423336654489,0.7327576663345511,0.38461538461538464,0.6153846153846154,827.375,482.8,m,0,0,False,Other
affliction,1997,2768.0,17032.0,4.0,8.0,0.1397979797979798,0.8602020202020202,0.3333333333333333,0.6666666666666666,2129.0,692.0,m,0,0,False,Other
agnes of god,1985,15732.0,1322.0,3.0,5.0,0.9224815292599976,0.07751847074000234,0.375,0.625,264.4,5244.0,f,1,0,True,Other
ai artificial intelligence,2001,1200.0,4315.0,2.0,9.0,0.21758839528558477,0.7824116047144152,0.18181818181818182,0.8181818181818182,479.44444444444446,600.0,f,2,0,True,Other
air force one,1997,1492.0,4679.0,4.0,12.0,0.2417760492626803,0.7582239507373197,0.25,0.75,389.9166666666667,373.0,m,2,0,True,Other
airplane,1980,1500.0,3984.0,3.0,7.0,0.2735229759299781,0.7264770240700219,0.3,0.7,569.1428571428571,500.0,m,0,0,False,Other
airplane ii the sequel,1982,1704.0,4138.0,4.0,12.0,0.29168093118794935,0.7083190688120506,0.25,0.75,344.8333333333333,426.0,f,0,0,False,Other
aladdin,1992,774.0,6635.0,1.0,6.0,0.10446753947901201,0.895532460520988,0.14285714285714285,0.8571428571428571,1105.8333333333333,774.0,m,5,2,True,Other
alfie,2004,937.0,6245.0,4.0,4.0,0.1304650515176831,0.8695349484823169,0.5,0.5,1561.25,234.25,m,0,0,False,Other
